Wavelength Global Direct Diffuse
768 0.53685 0.91745 0.07813
769 0.55231 0.94425 0.08019
770 0.55411 0.94769 0.08027
771 0.55854 0.95563 0.08072
772 0.56040 0.95920 0.08080
773 0.55641 0.95274 0.08004
774 0.56609 0.96970 0.08125
775 0.54318 0.93080 0.07778
776 0.56660 0.97131 0.08095
777 0.56201 0.96380 0.08011
778 0.55738 0.95623 0.07926
779 0.56201 0.96455 0.07974
780 0.55273 0.94896 0.07825
781 0.55270 0.94928 0.07806
782 0.55714 0.95726 0.07851
783 0.54708 0.94032 0.07692
784 0.54558 0.93809 0.07654
785 0.54755 0.94183 0.07664
786 0.53455 0.91980 0.07465
787 0.53895 0.92771 0.07509
788 0.52520 0.90437 0.07301
789 0.52553 0.90526 0.07290
790 0.51874 0.89390 0.07179
791 0.51413 0.88627 0.07100
792 0.50605 0.87265 0.06972
793 0.50724 0.87501 0.06973
794 0.50425 0.87016 0.06917
795 0.50014 0.86337 0.06845
796 0.51251 0.88504 0.06999
797 0.51138 0.88339 0.06968
798 0.51043 0.88207 0.06940
799 0.50887 0.87968 0.06903
800 0.49428 0.85476 0.06691
801 0.50282 0.86981 0.06791
802 0.50334 0.87101 0.06783
803 0.49570 0.85809 0.06666
804 0.50247 0.87009 0.06742
805 0.49189 0.85207 0.06586
806 0.50746 0.87934 0.06779
807 0.50381 0.87330 0.06716
808 0.50279 0.87183 0.06688
809 0.49089 0.85148 0.06515
810 0.48138 0.83526 0.06375
811 0.48310 0.83852 0.06384
812 0.47390 0.82282 0.06249
813 0.46309 0.80431 0.06093
814 0.45149 0.78442 0.05928
815 0.43656 0.75874 0.05720
816 0.42806 0.74420 0.05596
817 0.42472 0.73863 0.05541
818 0.42568 0.74054 0.05541
819 0.41244 0.71774 0.05357
820 0.40882 0.71166 0.05299
821 0.42592 0.74165 0.05509
822 0.41670 0.72583 0.05378
823 0.43040 0.74994 0.05543
824 0.43913 0.76539 0.05644
825 0.43916 0.76568 0.05632
826 0.44539 0.77678 0.05700
827 0.44330 0.77338 0.05662
828 0.44881 0.78322 0.05720
829 0.44455 0.77603 0.05654
830 0.44102 0.77010 0.05597
831 0.43505 0.75991 0.05510
832 0.44686 0.78078 0.05647
833 0.43416 0.75881 0.05475
834 0.44677 0.78109 0.05623
835 0.45048 0.78780 0.05658
836 0.45768 0.80063 0.05736
837 0.45571 0.79742 0.05700
838 0.45780 0.80132 0.05714
839 0.44661 0.78196 0.05563
840 0.46201 0.80917 0.05743
841 0.46448 0.81374 0.05761
842 0.46291 0.81122 0.05730
843 0.46160 0.80916 0.05702
844 0.45997 0.80653 0.05670
845 0.46697 0.81905 0.05745
846 0.47353 0.83079 0.05814
847 0.45751 0.80290 0.05606
848 0.46997 0.82501 0.05746
849 0.47414 0.83256 0.05786
850 0.40784 0.71635 0.04967
851 0.46960 0.82506 0.05707
852 0.45023 0.79125 0.05461
853 0.45548 0.80070 0.05513
854 0.36732 0.64590 0.04437
855 0.40500 0.71236 0.04882
856 0.46033 0.80989 0.05538
857 0.47122 0.82929 0.05658
858 0.46273 0.81456 0.05545
859 0.46341 0.81599 0.05542
860 0.45958 0.80946 0.05485
861 0.46018 0.81075 0.05481
862 0.45918 0.80920 0.05458
863 0.46794 0.82486 0.05551
864 0.46718 0.82374 0.05531
865 0.45884 0.80924 0.05422
866 0.38488 0.67898 0.04539
867 0.40993 0.72337 0.04825
868 0.44441 0.78442 0.05220
869 0.43831 0.77385 0.05138
870 0.45625 0.80573 0.05338
871 0.45578 0.80512 0.05322
872 0.45388 0.80198 0.05289
873 0.45573 0.80544 0.05301
874 0.44572 0.78796 0.05174
875 0.44132 0.78039 0.05113
876 0.44487 0.78686 0.05144
877 0.45350 0.80234 0.05234
878 0.44557 0.78850 0.05132
879 0.44655 0.79043 0.05133
880 0.44378 0.78574 0.05092
881 0.42038 0.74448 0.04814
882 0.44336 0.78538 0.05067
883 0.43260 0.76651 0.04935
884 0.43588 0.77251 0.04962
885 0.44006 0.78012 0.05000
886 0.42604 0.75545 0.04832
887 0.42100 0.74670 0.04765
888 0.43296 0.76810 0.04891
889 0.43443 0.77089 0.04898
890 0.43078 0.76461 0.04848
891 0.42436 0.75339 0.04767
892 0.41658 0.73975 0.04670
893 0.39275 0.69761 0.04395
894 0.39285 0.69795 0.04388
895 0.35989 0.63954 0.04012
896 0.35641 0.63351 0.03965
897 0.33126 0.58895 0.03679
898 0.31690 0.56356 0.03513
899 0.30579 0.54392 0.03383
900 0.29298 0.52126 0.03235
901 0.28802 0.51256 0.03174
902 0.28869 0.51386 0.03176
903 0.31240 0.55620 0.03430
904 0.32455 0.57796 0.03557
905 0.32728 0.58295 0.03580
906 0.31584 0.56270 0.03448
907 0.31442 0.56030 0.03427
908 0.29770 0.53063 0.03238
909 0.28427 0.50681 0.03086
910 0.28175 0.50243 0.03053
911 0.27817 0.49617 0.03009
912 0.27781 0.49563 0.03000
913 0.28389 0.50658 0.03059
914 0.28282 0.50479 0.03042
