Wavelength Global Direct Diffuse
664 0.19697 0.61719 0.08980
665 0.19901 0.62484 0.09051
666 0.20106 0.63249 0.09122
667 0.19787 0.62369 0.08957
668 0.19976 0.63088 0.09021
669 0.20299 0.64232 0.09145
670 0.20096 0.63713 0.09032
671 0.19886 0.63169 0.08917
672 0.19934 0.63443 0.08917
673 0.20110 0.64125 0.08975
674 0.20164 0.64417 0.08978
675 0.19943 0.63830 0.08859
676 0.20247 0.64926 0.08973
677 0.19886 0.63886 0.08793
678 0.20315 0.65384 0.08961
679 0.20083 0.64755 0.08838
680 0.19832 0.64063 0.08708
681 0.19966 0.64613 0.08746
682 0.19832 0.64295 0.08667
683 0.19978 0.64883 0.08711
684 0.19722 0.64169 0.08580
685 0.19879 0.64794 0.08628
686 0.18670 0.60960 0.08084
687 0.15343 0.50185 0.06629
688 0.14857 0.48678 0.06404
689 0.16295 0.53485 0.07008
690 0.16094 0.52914 0.06905
691 0.16806 0.55352 0.07195
692 0.16851 0.55594 0.07197
693 0.16974 0.56094 0.07233
694 0.16993 0.56253 0.07225
695 0.16584 0.54991 0.07035
696 0.16709 0.55496 0.07072
697 0.16806 0.55911 0.07097
698 0.16481 0.54920 0.06944
699 0.16882 0.56350 0.07097
700 0.16648 0.55661 0.06983
701 0.16320 0.54652 0.06830
702 0.16270 0.54571 0.06793
703 0.16574 0.55682 0.06905
704 0.16932 0.56976 0.07039
705 0.17225 0.58052 0.07144
706 0.17132 0.57832 0.07090
707 0.17025 0.57559 0.07030
708 0.17649 0.59762 0.07271
709 0.17181 0.58268 0.07063
710 0.17693 0.60099 0.07257
711 0.17684 0.60159 0.07237
712 0.17465 0.59505 0.07132
713 0.17107 0.58374 0.06970
714 0.16926 0.57845 0.06881
715 0.15501 0.53053 0.06288
716 0.14717 0.50446 0.05957
717 0.13232 0.45425 0.05344
718 0.12401 0.42635 0.04998
719 0.11787 0.40582 0.04740
720 0.11762 0.40556 0.04719
721 0.12036 0.41562 0.04819
722 0.12516 0.43283 0.05000
723 0.12683 0.43924 0.05056
724 0.12708 0.44074 0.05055
725 0.12554 0.43601 0.04982
726 0.12306 0.42803 0.04874
727 0.12383 0.43129 0.04893
728 0.12287 0.42858 0.04845
729 0.12154 0.42453 0.04782
730 0.12935 0.45244 0.05079
731 0.13284 0.46528 0.05204
732 0.14158 0.49659 0.05535
733 0.14621 0.51353 0.05704
734 0.15541 0.54658 0.06049
735 0.15895 0.55981 0.06174
736 0.15876 0.55989 0.06154
737 0.16421 0.57990 0.06351
738 0.16736 0.59180 0.06459
739 0.16423 0.58153 0.06325
740 0.16927 0.60015 0.06505
741 0.17172 0.60963 0.06585
742 0.17213 0.61190 0.06587
743 0.18023 0.64153 0.06883
744 0.18380 0.65510 0.07004
745 0.18118 0.64660 0.06890
746 0.18375 0.65663 0.06973
747 0.18750 0.67089 0.07100
748 0.18524 0.66363 0.07000
749 0.18567 0.66604 0.07002
750 0.18310 0.65763 0.06890
